"Plant","Family","Country","References"
"Abrus precatorius","Fabaceae","Nigeria/South Africa","Lawal et al, 2015"
"Abuta grandifolia","Menispermaceae","Brazil","Silva et al, 2011"
"Acacia karroo","Fabaceae","Mozambique","Lawal et al, 2015"
"Acacia erioloba","Fabaceae","South Africa","Lawal et al, 2015"
"Acacia nilotica","Fabaceae","South Africa/Sudan","Lawal et al, 2015"
"Acacia tortilis","Fabaceae","South Africa","Lawal et al, 2015"
"Acanthospermum australe","Asteraceae","Brazil","Silva et al, 2011"
"Acanthospermum hispidum","Asteraceae","Benin/Ivory Coast/Sudan","Lawal et al, 2015"
"Anchomanes difformis","Araceae","Cameroon/Benin","Lawal et al, 2015"
"Achyranthes aspera","Amaranthaceae","South Africa","Lawal et al, 2015"
"Acokanthera oppositifolia","Apocynaceae","Kenya","Lawal et al, 2015"
"Acokanthera schimperi","Apocynaceae","Kenya","Lawal et al, 2015"
"Adenia cissampeloides","Passifloraceae","Ghana","Lawal et al, 2015"
"Adenia rumicifolia","Passifloraceae","Ghana","Lawal et al, 2015"
"Aerva javanica","Amaranthaceae","Sudan","Lawal et al, 2015"
"Afzelia africana","Fabaceae","Nigeria","Lawal et al, 2015"
"Agathosma apiculata","Rutaceae","South Africa","Lawal et al, 2015"
"Agathosma puberula","Rutaceae","South Africa","Lawal et al, 2015"
"Ageratum conyzoides","Asteraceae","São Tomé/South Africa","Lawal et al, 2015, Silva et al, 2011"
"Alangium chinense","Alangiaceae","Kenya","Lawal et al, 2015"
"Albizia ferruginea","Fabaceae","Ivory Coast","Lawal et al, 2015"
"Albizia versicolor","Fabaceae","South Africa","Lawal et al, 2015"
"Albizia zygia","Mimosaceae","Cameroon","Lawal et al, 2015"
"Alchornea cordifolia","Euphorbiaceae","Congo/Ivory Coast","Lawal et al, 2015"
"Alchornea floribunda","Euphorbiaceae","Congo","Lawal et al, 2015"
"Alepidea amatymbica","Apiaceae","South Africa","Lawal et al, 2015"
"Alhagi graecorum","Papilionaceae","Egypt","Lawal et al, 2015"
"Aloe ferox","Asphodelaceae","South Africa","Lawal et al, 2015"
"Aloe maculata","Asphodelaceae","South Africa","Lawal et al, 2015"
"Aloe marlothii","Asphodelaceae","South Africa","Lawal et al, 2015"
"Aloe parvibracteata","Aloaceae","Mozambique","Lawal et al, 2015"
"Alstonia boonei","Apocynaceae","Congo/Ivory Coast","Lawal et al, 2015"
"Alternanthera pungens","Amaranthaceae","Nigeria","Lawal et al, 2015"
"Amaranthus lividus","Amaranthaceae","Egypt","Lawal et al, 2015"
"Ambrosia maritime","Asteraceae","Sudan","Lawal et al, 2015"
"Ampelozizyphus amazonicus","Rhamanaceae","Brazil","Silva et al, 2011"
"Anacardium occidentale","Anacardiaceae","Ivory Coast","Lawal et al, 2015"
"Anastatica hierochuntica","Cruciferae","Egypt","Lawal et al, 2015"
"Andira inermis","Fabaceae","Brazil","Silva et al, 2011"
"Anisopappus chinensis","Asteraceae","Congo","Lawal et al, 2015"
"Annona muricata","Annonaceae","Cameroon","Lawal et al, 2015"
"Annona senegalensis","Annonaceae","South Africa","Lawal et al, 2015"
"Anogeissus leiocarpa","Combrataceae","Nigeria","Lawal et al, 2015"
"Anonidium mannii","Annonaceae","Congo","Lawal et al, 2015"
"Anthocleista djalonensis","Loganiaceae","Ivory Coast","Lawal et al, 2015"
"Anthocleista grandiflora","Gentianaceae","South Africa","Lawal et al, 2015"
"Anthocleista nobilis","Loganiaceae","Burkina Faso","Lawal et al, 2015"
"Anthonotha macrophylla","Caesalpiniaceae","Ivory Coast","Lawal et al, 2015"
"Aristolochia bracteolata","Aristolochiaceae","Sudan","Lawal et al, 2015"
"Aristolochia elegans","Aristolochiaceae","Rwanda","Lawal et al, 2015"
"Artabotrys brachypetalus","Annonaceae","South Africa","Lawal et al, 2015"
"Artabotrys monteiroae","Annonaceae","South Africa","Lawal et al, 2015"
"Artemisia absinthium","Asteraceae","Egypt","Lawal et al, 2015"
"Artemisia afra","Asteraceae","South Africa","Lawal et al, 2015"
"Artemisia annua","Asteraceae","Asia","Artemesinin"
"Artemisia gorgonum","Asteraceae","Cape Verde","Silva et al, 2011"
"Artocarpus communis","Moraceae","Cameroon","Lawal et al, 2015"
"Asparagus virgatus","Asparagaceae","South Africa","Lawal et al, 2015"
"Aspidosperma desmanthum","Apocynaceae","Brazil","Silva et al, 2011"
"Aspidosperma vargasii","Apocynaceae","Brazil","Silva et al, 2011"
"Aspilia africana","Asteracae","Nigeria","Lawal et al, 2015"
"Aster squamatous","Compositae","Egypt","Lawal et al, 2015"
"Asystasia gangetica","Acanthaceae","South Africa","Lawal et al, 2015"
"Autranella congolensis","Sapotaceae","Congo","Lawal et al, 2015"
"Azadirachta indica","Meliaceae","Nigeria","Lawal et al, 2015"
"Baillonella toxisperma","Sapotaceae","Benin","Lawal et al, 2015"
"Balanites aegyptiaca","Balanitaceae","Sudan/Togo","Lawal et al, 2015"
"Barringtonia racemosa","Lecythidaceae","South Africa","Lawal et al, 2015"
"Bersama abyssinica","Melianthaceae","Ivory Coast","Lawal et al, 2015"
"Berula erecta","Apiaceae","South Africa","Lawal et al, 2015"
"Beta vulgaris","Chenopodiaceae","Egypt","Lawal et al, 2015"
"Bidens engleri","Asteraceae","Burkina Faso","Lawal et al, 2015"
"Bidens pilosa","Asteraceae","South Africa/Brazil","Lawal et al, 2015; Silva et al, 2011"
"Boscia angustifolia","Capparaceae","Mali","Lawal et al, 2015"
"Boswellia dalzielii","Burceraceae","Benin/Nigeria","Lawal et al, 2015"
"Bridelia cathartica","Euphorbiaceae","Mozambique","Silva et al, 2011"
"Bridelia ferruginea","Euphorbiaceae","Angola","Silva et al, 2011"
"Bridelia micrantha","Euphorbiaceae","Mozambique/South Africa","Lawal et al, 2015"
"Bridelia mollis","Phyllanthaceae","South Africa","Lawal et al, 2015"
"Bruguiera gymnorhiza","Rhizophoraceae","South Africa","Lawal et al, 2015"
"Burchellia bubalina","Rubiaceae","South Africa","Lawal et al, 2015"
"Byrsocarpus coccineus","Connaraceae","Benin","Lawal et al, 2015"
"Cadaba farinosa","Capparaceae","Kenya","Lawal et al, 2015"
"Caesalpinia bonduc","Caesalpiniaceae","Ghana","Lawal et al, 2015"
"Calycobolus","Convolvulaceae","Congo","Lawal et al, 2015"
"Camellia sinensis","Theaceae","Egypt","Lawal et al, 2015"
"Capparis tomentosa","Capparaceae","South Africa","Lawal et al, 2015"
"Caralluma tuberculata","Asclepiadaceae","Congo","Lawal et al, 2015"
"Cardiospermum halicacabum","Sapindaceae","South Africa","Lawal et al, 2015"
"Carica papaya","Caricaceae","Nigeria","Lawal et al, 2015"
"Carissa edulis","Apocynaceae","Kenya/South Africa","Lawal et al, 2015"
"Carpolobia lutea","Polygalaceae","Benin","Lawal et al, 2015"
"Carapichea ipecacuanha","Rubiaceae","Egypt","Lawal et al, 2015"
"Casearia sylvestris","Salicaceae","Brazil","Silva et al, 2011"
"Cassia abbreviata","Fabaceae","Mozambique","Lawal et al, 2015"
"Cassia alata","Caesalpiniaceae","Ivory Coast","Lawal et al, 2015"
"Cassia arereh","Fabaceae","Sudan","Lawal et al, 2015"
"Cassia occidentalis","Caesalpiniaceae","Congo/Ivory Coast/Ghana/Mozambique","Lawal et al, 2015"
"Cassia podocarpa","Ceasalpiniaceae","Burkina Faso","Lawal et al, 2015"
"Cassia sieberiana","Fabaceae","Nigeria","Lawal et al, 2015"
"Cassia singueana","Fabaceae","Nigeria","Lawal et al, 2015"
"Cassia tora","Caesalpiniaceae","Sudan","Lawal et al, 2015"
"Catha edulis","Celastraceae","South Africa","Lawal et al, 2015"
"Cecropia pachystachya","Urticaceae","Brazil","Silva et al, 2011"
"Cedrela odorata","Meliaceae","Brazil/São Tomé","Silva et al, 2011"
"Celtis integrifolia","Ulmaceae","Burkina Faso","Lawal et al, 2015"
"Centella asiatica","Apiaceae","South Africa","Lawal et al, 2015"
"Cephalanthus natalensis","Rubiaceae","South Africa","Lawal et al, 2015"
"Cestrum laevigatum","Solanaceae","São Tomé","Silva et al, 2011"
"Chenopodium murale","Chenopodiaceae","Egypt","Lawal et al, 2015"
"Cichorium endivia","Asteraceae","Egypt","Lawal et al, 2015"
"Cichorium intybus","Asteraceae","Egypt","Lawal et al, 2015"
"Cinchona calisaya","Rubiaceae","South America","Quinine"
"Cinnamomum cassia","Lauraceae","Egypt","Lawal et al, 2015"
"Cissus populnea","Amplidaceae","Nigeria","Lawal et al, 2015"
"Cissus quadrangularis","Vitaceae","Mali","Lawal et al, 2015"
"Citrullus colocynthis","Cucurbitaceae","Sudan","Lawal et al, 2015"
"Citrus aurantifolia","Rutaceae","Ghana","Lawal et al, 2015"
"Citrus limon","Rutaceae","Nigeria","Lawal et al, 2015"
