id	date	site	hap	plas
TL2.3888 (ID04)	12/12/12	TL2-E	5 (2)	B1, C2
TL2.3843 (ID05)	11/26/12	TL2-E	7 (4)	B1, C2
TL2.3812 (ID06)	11/19/12	TL2-E	3 (1)	B1
TL2.3905 (ID06)	11/26/12	TL2-E	3 (2)	B1, C2
TL2.3911 (ID07)	01/08/13	TL2-E	9 (3)	B1, C2
TL2.3912 (ID07)	01/08/13	TL2-E	2 (1)	B1
TL2.3870 (ID13)	11/28/12	TL2-E	14 (8)	B1, C2
TL2.3846 (ID15)	11/26/12	TL2-E	3 (1)	B1
TL2.3882 (ID15)	12/12/12	TL2-E	2 (1)	B1
TL2.3826 (ID18)	11/19/12	TL2-E	3 (2)	B1, C2
TL2.3866 (ID18)	11/28/12	TL2-E	3 (2)	B1, C2
TL2.3874 (ID18)	11/28/12	TL2-E	1 (1)	B1
TL2.3853 (ID20)	11/21/12	TL2-E		
TL2.3873 (ID20)	11/28/12	TL2-E	2 (2)	B1, C2
TL2.3816 (ID24)	11/19/12	TL2-E	10 (3)	B1, C2
TL2.3834 (ID24)	11/26/12	TL2-E	8 (4)	B1, C2
TL2.3850 (ID24)	12/12/12	TL2-E	7 (3)	B1, C2
TL2.3948 (ID25)	02/13/13	TL2-NE	7 (2)	B1, C2
TL2.3842 (ID27)	11/26/12	TL2-E	9 (2)	B1, C2
TL2.3889 (ID33)	12/12/12	TL2-E	1 (1)	B1
TL2.3884 (ID37)	11/26/12	TL2-E	5 (1)	C2
TL2.3833 (ID39)	11/19/12	TL2-E	2 (2)	C2
TL2.3915 (ID41)	01/08/13	TL2-E	4 (2)	B1, C2
TL2.3856 (ID43)	11/28/12	TL2-E	2 (2)	B1, C2
TL2.3820 (ID45)	11/19/12	TL2-E	12 (7)	B1, C2
TL2.3903 (ID45)	12/13/12	TL2-E	2 (1)	C2
TL2.3862 (ID46)	11/28/12	TL2-E	10 (4)	B1, C2, Pm-related
TL2.3855 (ID47)	11/28/12	TL2-E	6 (2)	B1, C2
TL2.3943 (ID49)	02/13/13	TL2-NE	1 (1)	B1
TL2.3918 (ID50)	01/11/13	TL2-E	4 (2)	B1
TL2.3931 (ID60)	02/15/13	TL2-W	3 (2)	B1, C2
TL2.3932 (ID60)	02/15/13	TL2-W	5 (2)	B1, C2
TL2.3936 (ID61)	02/15/13	TL2-W	2 (2)	B1, C2
TL2.3942 (ID63)	02/15/13	TL2-W	6 (2)	B1, C2
